,DewpointC,HeatIndexC,WindGustkmph,date,h_hour,precipMM,tempC,wind_direction,windspeedkmph
0,9,9,15,2017-05-01,0,0.0,9,SSE,10
0,7,9,20,2017-05-01,300,0.3,8,SE,13
0,8,9,19,2017-05-01,600,0.0,8,ESE,13
0,7,10,26,2017-05-01,900,0.1,10,E,19
0,8,12,13,2017-05-01,1200,0.0,12,E,12
0,8,14,15,2017-05-01,1500,0.1,13,S,13
0,7,10,33,2017-05-01,1800,0.0,10,SSE,23
0,6,10,27,2017-05-01,2100,0.0,9,ESE,17
0,6,7,23,2017-05-02,0,0.0,6,E,12
0,6,7,23,2017-05-02,300,0.0,6,ENE,12
0,7,9,14,2017-05-02,600,0.0,8,NE,10
0,8,14,14,2017-05-02,900,0.0,14,E,12
0,8,16,13,2017-05-02,1200,0.0,16,NNE,12
0,9,14,19,2017-05-02,1500,0.7,14,NNE,15
0,10,12,16,2017-05-02,1800,0.0,12,N,11
0,8,9,26,2017-05-02,2100,1.4,9,NNE,15
0,5,6,25,2017-05-03,0,0.0,6,N,15
0,5,5,29,2017-05-03,300,0.0,5,N,18
0,6,7,26,2017-05-03,600,0.0,7,N,18
0,7,9,30,2017-05-03,900,0.2,9,NNE,23
0,7,10,29,2017-05-03,1200,0.0,10,NNE,21
0,8,10,31,2017-05-03,1500,0.4,10,NNE,21
0,8,10,22,2017-05-03,1800,0.0,10,NNE,15
0,8,9,27,2017-05-03,2100,0.1,9,NE,17
0,8,9,25,2017-05-04,0,0.0,9,NNE,16
0,8,9,29,2017-05-04,300,0.1,9,NNE,19
0,8,10,24,2017-05-04,600,0.0,9,NNE,17
0,9,11,31,2017-05-04,900,0.1,11,NE,22
0,9,13,24,2017-05-04,1200,0.0,13,NE,19
0,9,12,31,2017-05-04,1500,0.3,12,NE,24
0,7,10,31,2017-05-04,1800,0.0,10,NE,21
0,7,9,34,2017-05-04,2100,0.0,9,NE,22
0,7,9,36,2017-05-05,0,0.0,9,NE,23
0,6,8,38,2017-05-05,300,0.0,8,NE,23
0,6,9,28,2017-05-05,600,0.0,9,NE,19
0,6,12,35,2017-05-05,900,0.0,12,ENE,28
0,7,13,37,2017-05-05,1200,0.0,13,ENE,30
0,7,12,37,2017-05-05,1500,0.1,12,ENE,30
0,7,10,32,2017-05-05,1800,0.0,10,ENE,22
0,6,8,34,2017-05-05,2100,0.0,8,ENE,21
0,6,7,37,2017-05-06,0,0.0,7,NE,21
0,6,8,37,2017-05-06,300,0.0,8,ENE,24
0,7,9,34,2017-05-06,600,0.0,9,NE,24
0,8,12,31,2017-05-06,900,0.0,12,ENE,27
0,9,14,24,2017-05-06,1200,0.0,14,NE,21
0,9,14,24,2017-05-06,1500,0.0,14,NE,21
0,9,12,16,2017-05-06,1800,0.0,12,N,11
0,8,10,23,2017-05-06,2100,0.0,10,N,14
0,7,7,22,2017-05-07,0,0.0,7,N,12
0,5,5,20,2017-05-07,300,0.0,5,N,10
0,7,8,15,2017-05-07,600,0.0,8,NNW,11
0,7,10,18,2017-05-07,900,0.1,10,NNW,14
0,8,12,13,2017-05-07,1200,0.0,12,N,12
0,9,15,15,2017-05-07,1500,0.0,14,N,13
0,11,14,14,2017-05-07,1800,0.0,13,NNE,9
0,8,9,19,2017-05-07,2100,0.0,8,NNE,9
0,5,6,18,2017-05-08,0,0.0,6,N,10
0,4,4,22,2017-05-08,300,0.0,4,NNW,12
0,5,7,24,2017-05-08,600,0.0,7,NNW,17
0,5,8,31,2017-05-08,900,0.0,8,N,23
0,6,10,26,2017-05-08,1200,0.0,10,N,20
0,7,10,29,2017-05-08,1500,0.0,10,N,21
0,7,10,25,2017-05-08,1800,0.0,10,NNE,17
0,6,6,27,2017-05-08,2100,0.0,6,N,14
0,4,5,24,2017-05-09,0,0.0,4,NNE,13
0,3,3,22,2017-05-09,300,0.0,3,NNE,12
0,4,6,14,2017-05-09,600,0.0,6,N,11
0,5,10,16,2017-05-09,900,0.0,10,NE,14
0,5,11,9,2017-05-09,1200,0.0,10,NE,8
0,5,11,10,2017-05-09,1500,0.0,11,NE,9
0,7,11,13,2017-05-09,1800,0.0,10,NE,9
0,5,7,22,2017-05-09,2100,0.0,6,E,11
0,4,5,15,2017-05-10,0,0.0,3,E,7
0,4,5,14,2017-05-10,300,0.0,3,E,8
0,7,9,6,2017-05-10,600,0.0,7,E,5
0,6,12,13,2017-05-10,900,0.0,11,E,11
0,7,15,13,2017-05-10,1200,0.0,14,ESE,11
0,8,15,16,2017-05-10,1500,0.0,15,ESE,14
0,9,13,21,2017-05-10,1800,0.0,12,E,14
0,5,6,28,2017-05-10,2100,0.0,6,E,13
0,4,6,26,2017-05-11,0,0.0,6,ENE,13
0,7,7,29,2017-05-11,300,0.0,6,ENE,14
0,9,11,18,2017-05-11,600,0.0,10,E,13
0,11,15,21,2017-05-11,900,0.0,15,E,18
0,12,19,19,2017-05-11,1200,0.0,19,E,16
0,13,19,18,2017-05-11,1500,0.5,19,ESE,15
0,13,16,18,2017-05-11,1800,0.0,16,ENE,12
0,11,12,18,2017-05-11,2100,1.2,12,ESE,10
0,11,11,13,2017-05-12,0,0.0,11,SE,7
0,12,12,16,2017-05-12,300,1.0,11,SSE,10
0,12,13,19,2017-05-12,600,0.0,13,S,14
0,12,13,27,2017-05-12,900,0.0,13,S,18
0,13,15,30,2017-05-12,1200,0.0,15,S,23
0,12,16,35,2017-05-12,1500,0.0,16,SSW,25
0,12,15,24,2017-05-12,1800,0.0,15,SSW,16
0,10,11,33,2017-05-12,2100,0.0,11,SSW,18
0,9,9,27,2017-05-13,0,0.0,9,SSW,15
0,9,9,22,2017-05-13,300,0.0,9,SSW,12
0,11,12,19,2017-05-13,600,0.0,12,SSW,14
0,11,14,29,2017-05-13,900,0.1,14,SW,22
