,DewpointC,HeatIndexC,WindGustkmph,date,h_hour,precipMM,tempC,wind_direction,windspeedkmph
0,8,10,16,2017-05-01,0,0.0,10,ESE,10
0,8,9,21,2017-05-01,300,1.7,9,SSE,14
0,8,9,17,2017-05-01,600,0.0,9,SE,12
0,8,11,24,2017-05-01,900,0.0,11,ESE,20
0,7,12,31,2017-05-01,1200,0.0,12,E,27
0,8,13,29,2017-05-01,1500,0.0,13,ESE,24
0,8,12,18,2017-05-01,1800,0.0,11,SE,12
0,6,7,26,2017-05-01,2100,0.0,7,SE,13
0,5,6,22,2017-05-02,0,0.0,6,E,10
0,5,6,23,2017-05-02,300,0.0,6,ENE,11
0,6,8,15,2017-05-02,600,0.0,8,ENE,9
0,7,13,12,2017-05-02,900,0.0,13,NE,11
0,8,15,24,2017-05-02,1200,0.0,15,N,20
0,9,14,28,2017-05-02,1500,0.5,14,NNE,23
0,8,11,23,2017-05-02,1800,0.0,11,NNE,15
0,6,7,31,2017-05-02,2100,0.3,7,NNE,17
0,5,6,28,2017-05-03,0,0.0,6,N,16
0,5,6,31,2017-05-03,300,0.0,6,NNE,17
0,5,7,26,2017-05-03,600,0.0,7,NNE,17
0,6,9,35,2017-05-03,900,0.1,9,NE,25
0,7,10,30,2017-05-03,1200,0.0,10,NNE,22
0,7,10,35,2017-05-03,1500,0.2,9,NNE,24
0,8,10,23,2017-05-03,1800,0.0,9,NNE,15
0,7,9,30,2017-05-03,2100,0.1,9,NE,20
0,7,9,22,2017-05-04,0,0.0,9,NNE,14
0,8,9,28,2017-05-04,300,0.1,9,NNE,19
0,7,9,25,2017-05-04,600,0.0,9,NNE,18
0,7,11,31,2017-05-04,900,0.0,11,NE,26
0,8,12,29,2017-05-04,1200,0.0,12,NE,21
0,7,10,35,2017-05-04,1500,0.1,10,NE,25
0,6,10,29,2017-05-04,1800,0.0,10,NE,20
0,5,8,33,2017-05-04,2100,0.1,8,NE,21
0,5,6,31,2017-05-05,0,0.0,6,NNE,18
0,5,6,34,2017-05-05,300,0.0,6,NE,18
0,6,8,25,2017-05-05,600,0.0,8,NE,17
0,5,12,31,2017-05-05,900,0.0,12,NE,26
0,6,14,30,2017-05-05,1200,0.0,14,ENE,25
0,6,13,34,2017-05-05,1500,0.0,13,ENE,28
0,7,10,29,2017-05-05,1800,0.0,10,ENE,19
0,6,9,30,2017-05-05,2100,0.0,9,ENE,20
0,6,8,28,2017-05-06,0,0.0,8,NE,18
0,6,8,30,2017-05-06,300,0.0,8,ENE,19
