,DewpointC,HeatIndexC,WindGustkmph,date,h_hour,precipMM,tempC,wind_direction,windspeedkmph
0,8,10,33,2017-05-01,0,0.0,10,S,23
0,7,10,38,2017-05-01,300,0.4,10,SSE,26
0,7,9,39,2017-05-01,600,0.0,9,SSE,28
0,7,10,37,2017-05-01,900,0.4,10,SE,27
0,7,11,41,2017-05-01,1200,0.0,11,S,29
0,7,12,54,2017-05-01,1500,0.2,12,SSW,37
0,7,11,38,2017-05-01,1800,0.0,11,S,25
0,7,11,32,2017-05-01,2100,0.0,11,ESE,19
0,8,10,30,2017-05-02,0,0.0,10,ESE,19
0,7,10,27,2017-05-02,300,0.0,10,ESE,17
0,7,10,16,2017-05-02,600,0.0,10,ENE,10
0,8,12,14,2017-05-02,900,0.0,12,NE,10
0,7,13,23,2017-05-02,1200,0.0,13,NE,15
0,9,12,19,2017-05-02,1500,0.6,12,NNE,12
0,9,11,21,2017-05-02,1800,0.0,11,NNE,14
0,8,10,38,2017-05-02,2100,0.8,10,NNE,25
0,7,9,39,2017-05-03,0,0.0,9,N,26
0,7,9,40,2017-05-03,300,0.0,9,N,27
0,8,10,38,2017-05-03,600,0.0,10,NNE,27
0,7,10,42,2017-05-03,900,0.7,10,NNE,30
0,7,10,33,2017-05-03,1200,0.0,10,NE,24
0,8,11,35,2017-05-03,1500,0.2,11,NE,26
0,8,10,36,2017-05-03,1800,0.0,10,NE,25
0,9,10,40,2017-05-03,2100,0.1,10,NE,27
0,9,10,39,2017-05-04,0,0.0,10,NNE,26
0,9,11,37,2017-05-04,300,0.1,11,NNE,25
0,9,11,32,2017-05-04,600,0.0,11,NNE,22
0,9,11,41,2017-05-04,900,0.4,11,NE,29
0,8,11,36,2017-05-04,1200,0.0,11,NE,26
0,8,10,40,2017-05-04,1500,0.0,10,NNE,29
0,8,11,44,2017-05-04,1800,0.0,10,NNE,31
0,9,11,45,2017-05-04,2100,0.1,11,NE,31
0,9,11,44,2017-05-05,0,0.0,11,NE,30
0,8,11,48,2017-05-05,300,0.0,11,ENE,33
0,6,11,46,2017-05-05,600,0.0,11,NE,32
0,6,11,44,2017-05-05,900,0.0,11,ENE,32
0,7,11,46,2017-05-05,1200,0.0,11,NE,35
0,7,10,45,2017-05-05,1500,0.0,10,ENE,34
0,7,10,43,2017-05-05,1800,0.0,10,ENE,30
0,7,10,43,2017-05-05,2100,0.0,10,ENE,30
0,8,10,47,2017-05-06,0,0.0,10,ENE,32
0,8,10,48,2017-05-06,300,0.0,10,ENE,35
0,8,10,48,2017-05-06,600,0.0,10,NE,33
0,9,11,46,2017-05-06,900,0.0,11,NE,34
0,9,11,41,2017-05-06,1200,0.0,11,NE,31
0,9,12,39,2017-05-06,1500,0.0,12,NE,28
0,8,11,33,2017-05-06,1800,0.0,11,N,22
0,8,11,36,2017-05-06,2100,0.0,11,N,24
0,8,9,38,2017-05-07,0,0.0,9,N,27
0,7,9,28,2017-05-07,300,0.0,9,N,20
0,7,9,28,2017-05-07,600,0.0,9,NNW,21
0,7,10,24,2017-05-07,900,0.1,10,NNW,17
0,7,11,20,2017-05-07,1200,0.0,11,NNW,14
0,8,12,20,2017-05-07,1500,0.0,12,NNW,13
0,9,12,19,2017-05-07,1800,0.0,12,N,12
0,8,11,22,2017-05-07,2100,0.0,11,N,15
0,6,9,32,2017-05-08,0,0.0,9,NNW,22
0,5,8,33,2017-05-08,300,0.0,8,NNW,23
0,5,9,40,2017-05-08,600,0.0,9,NNW,30
0,6,9,41,2017-05-08,900,0.0,9,NNW,30
0,7,10,39,2017-05-08,1200,0.0,10,N,30
0,8,11,36,2017-05-08,1500,0.0,11,N,25
0,7,11,38,2017-05-08,1800,0.0,11,NNE,26
0,6,10,39,2017-05-08,2100,0.0,10,NNE,26
0,6,9,34,2017-05-09,0,0.0,9,NNE,23
0,6,8,30,2017-05-09,300,0.0,8,NNE,21
0,5,9,25,2017-05-09,600,0.0,9,N,18
0,5,9,21,2017-05-09,900,0.1,9,NNE,15
0,5,10,18,2017-05-09,1200,0.0,10,NE,13
0,5,11,21,2017-05-09,1500,0.0,11,NE,15
0,5,10,24,2017-05-09,1800,0.0,10,NE,17
0,5,9,26,2017-05-09,2100,0.0,9,ENE,18
