,DewpointC,HeatIndexC,WindGustkmph,date,h_hour,precipMM,tempC,wind_direction,windspeedkmph
0,9,9,22,2017-05-01,0,0.0,9,NE,15
0,8,9,24,2017-05-01,300,0.0,9,E,17
0,8,9,14,2017-05-01,600,0.0,9,ENE,10
0,8,11,17,2017-05-01,900,0.0,11,E,13
0,8,13,19,2017-05-01,1200,0.0,13,ENE,14
0,8,13,21,2017-05-01,1500,0.0,13,NE,15
0,9,12,15,2017-05-01,1800,0.0,12,NNE,10
0,7,10,31,2017-05-01,2100,0.0,10,NNE,16
0,7,8,30,2017-05-02,0,0.0,8,NNE,18
0,6,8,28,2017-05-02,300,0.0,7,NE,18
0,6,8,22,2017-05-02,600,0.0,8,NE,15
0,7,11,18,2017-05-02,900,0.0,11,ENE,14
0,8,13,15,2017-05-02,1200,0.0,13,ENE,11
0,9,15,10,2017-05-02,1500,0.0,14,NE,7
0,10,14,15,2017-05-02,1800,0.0,13,ENE,9
0,9,11,26,2017-05-02,2100,0.0,11,NE,14
0,7,9,32,2017-05-03,0,0.0,9,NE,20
0,6,7,35,2017-05-03,300,0.0,7,NE,23
0,5,7,34,2017-05-03,600,0.0,7,NNE,24
0,5,9,38,2017-05-03,900,0.0,9,NE,30
0,7,12,29,2017-05-03,1200,0.0,12,ENE,21
0,7,12,34,2017-05-03,1500,0.0,12,NE,24
0,8,12,28,2017-05-03,1800,0.0,12,NE,18
0,7,10,40,2017-05-03,2100,0.0,10,NE,25
0,6,9,33,2017-05-04,0,0.0,8,NE,22
0,6,8,37,2017-05-04,300,0.0,8,NE,26
0,7,9,31,2017-05-04,600,0.0,9,NE,22
0,8,11,36,2017-05-04,900,0.0,11,NE,27
0,9,14,31,2017-05-04,1200,0.0,13,ENE,23
0,9,14,40,2017-05-04,1500,0.0,14,ENE,29
0,9,12,38,2017-05-04,1800,0.0,12,ENE,24
0,7,11,47,2017-05-04,2100,0.0,11,ENE,31
0,6,9,43,2017-05-05,0,0.0,9,ENE,30
0,5,8,47,2017-05-05,300,0.0,8,ENE,33
0,6,8,44,2017-05-05,600,0.0,8,ENE,32
0,6,11,48,2017-05-05,900,0.0,11,ENE,38
0,7,13,46,2017-05-05,1200,0.0,13,E,34
0,8,13,49,2017-05-05,1500,0.0,13,ENE,35
0,8,13,40,2017-05-05,1800,0.0,13,ENE,25
0,7,11,48,2017-05-05,2100,0.0,11,ENE,33
0,6,9,49,2017-05-06,0,0.0,9,ENE,35
0,6,9,47,2017-05-06,300,0.1,9,ENE,33
0,7,9,42,2017-05-06,600,0.0,9,ENE,30
0,7,10,37,2017-05-06,900,0.0,10,ENE,28
0,9,13,32,2017-05-06,1200,0.0,13,ENE,24
0,8,12,30,2017-05-06,1500,0.0,12,NE,22
0,9,12,24,2017-05-06,1800,0.0,12,NE,17
0,7,10,25,2017-05-06,2100,0.0,10,NNE,14
0,7,9,23,2017-05-07,0,0.0,8,NNE,13
0,6,8,20,2017-05-07,300,0.0,8,NNE,11
0,7,9,14,2017-05-07,600,0.0,9,NNE,10
0,8,11,12,2017-05-07,900,0.0,11,NNE,9
0,9,14,4,2017-05-07,1200,0.0,13,N,3
0,10,15,6,2017-05-07,1500,0.0,14,W,4
0,11,14,29,2017-05-07,1800,0.0,14,WSW,17
0,10,13,24,2017-05-07,2100,0.0,13,WNW,13
0,9,10,35,2017-05-08,0,0.0,10,NE,21
0,6,8,30,2017-05-08,300,0.0,8,NE,19
0,4,7,29,2017-05-08,600,0.0,7,NE,21
0,5,9,25,2017-05-08,900,0.0,9,NE,21
0,7,13,23,2017-05-08,1200,0.0,13,NE,18
0,7,12,27,2017-05-08,1500,0.0,12,ENE,22
0,8,12,27,2017-05-08,1800,0.0,12,ENE,18
0,5,10,29,2017-05-08,2100,0.0,10,ENE,18
0,5,9,27,2017-05-09,0,0.0,9,ENE,17
0,4,7,30,2017-05-09,300,0.0,7,NE,19
0,3,6,22,2017-05-09,600,0.0,6,NE,16
0,4,8,21,2017-05-09,900,0.0,8,ENE,17
0,5,11,18,2017-05-09,1200,0.0,11,ENE,15
0,6,11,20,2017-05-09,1500,0.0,11,ENE,17
0,7,11,17,2017-05-09,1800,0.0,11,ENE,13
0,6,9,29,2017-05-09,2100,0.0,9,E,16
0,5,7,21,2017-05-10,0,0.0,7,E,12
