,DewpointC,HeatIndexC,WindGustkmph,date,h_hour,precipMM,tempC,wind_direction,windspeedkmph
0,5,8,33,2017-05-01,0,0.0,8,ENE,20
0,6,8,33,2017-05-01,300,0.0,8,ENE,20
0,7,8,30,2017-05-01,600,0.0,8,ENE,20
0,8,12,32,2017-05-01,900,0.0,12,ENE,27
0,9,14,29,2017-05-01,1200,0.0,14,ENE,26
0,9,14,29,2017-05-01,1500,0.0,14,ENE,25
0,8,11,26,2017-05-01,1800,0.0,11,ENE,18
0,6,7,29,2017-05-01,2100,0.0,7,ENE,15
0,5,6,25,2017-05-02,0,0.0,6,ENE,13
0,5,6,22,2017-05-02,300,0.0,6,ENE,10
0,6,8,15,2017-05-02,600,0.0,8,ENE,10
0,8,11,17,2017-05-02,900,0.0,11,E,14
0,9,13,19,2017-05-02,1200,0.0,13,ENE,17
0,9,14,23,2017-05-02,1500,0.1,14,ENE,19
0,8,11,22,2017-05-02,1800,0.0,11,ENE,15
0,5,6,29,2017-05-02,2100,0.0,6,ENE,15
0,3,4,24,2017-05-03,0,0.0,4,NE,12
0,3,3,23,2017-05-03,300,0.0,3,NE,12
0,3,5,18,2017-05-03,600,0.0,5,NNE,12
0,4,11,29,2017-05-03,900,0.0,11,NE,24
0,5,14,35,2017-05-03,1200,0.0,14,NE,28
0,5,14,38,2017-05-03,1500,0.0,14,NE,30
0,6,11,31,2017-05-03,1800,0.0,11,ENE,18
0,3,7,35,2017-05-03,2100,0.0,7,NE,18
0,3,6,34,2017-05-04,0,0.0,6,NE,18
0,3,6,34,2017-05-04,300,0.0,6,NE,19
0,4,7,27,2017-05-04,600,0.0,7,NE,18
0,6,12,33,2017-05-04,900,0.0,11,ENE,27
0,6,14,36,2017-05-04,1200,0.0,14,ENE,30
0,5,13,40,2017-05-04,1500,0.0,13,ENE,32
0,4,10,37,2017-05-04,1800,0.0,9,ENE,23
0,3,6,43,2017-05-04,2100,0.0,6,ENE,24
0,3,5,36,2017-05-05,0,0.0,5,ENE,19
0,2,4,35,2017-05-05,300,0.0,4,ENE,18
0,3,6,31,2017-05-05,600,0.0,6,ENE,19
0,5,11,34,2017-05-05,900,0.0,11,ENE,27
0,6,14,30,2017-05-05,1200,0.0,14,ENE,26
0,5,13,31,2017-05-05,1500,0.0,13,ENE,26
0,5,10,31,2017-05-05,1800,0.0,10,ENE,20
0,2,5,39,2017-05-05,2100,0.0,5,ENE,20
0,2,4,38,2017-05-06,0,0.0,4,ENE,20
0,2,5,40,2017-05-06,300,0.0,5,ENE,21
0,4,7,32,2017-05-06,600,0.0,7,NE,21
0,5,11,33,2017-05-06,900,0.0,11,ENE,27
0,6,13,31,2017-05-06,1200,0.0,13,ENE,27
0,7,14,28,2017-05-06,1500,0.0,14,ENE,24
0,7,12,21,2017-05-06,1800,0.0,12,ENE,14
0,4,6,21,2017-05-06,2100,0.0,6,NE,10
0,3,4,15,2017-05-07,0,0.0,3,NE,7
0,3,4,17,2017-05-07,300,0.0,4,NNE,8
0,5,7,13,2017-05-07,600,0.0,7,NE,9
0,7,10,18,2017-05-07,900,0.0,10,NNE,14
0,8,12,18,2017-05-07,1200,0.0,12,NNE,14
0,8,13,20,2017-05-07,1500,0.0,13,NNE,17
0,7,10,23,2017-05-07,1800,0.0,10,NE,16
0,3,4,24,2017-05-07,2100,0.0,4,NE,12
0,2,3,21,2017-05-08,0,0.0,3,NNE,10
0,2,4,27,2017-05-08,300,0.0,4,NNE,14
0,3,6,20,2017-05-08,600,0.0,6,NE,14
0,3,8,32,2017-05-08,900,0.0,8,NE,24
0,5,10,24,2017-05-08,1200,0.0,10,NE,19
0,6,11,24,2017-05-08,1500,0.0,11,NE,21
